shopping_mall,basket_size,number_of_baskets
Cevahir AVM,1,1022
Cevahir AVM,2,959
Cevahir AVM,3,1036
Cevahir AVM,4,969
Cevahir AVM,5,1005
Emaar Square Mall,1,932
Emaar Square Mall,2,963
Emaar Square Mall,3,991
Emaar Square Mall,4,955
Emaar Square Mall,5,970
Forum Istanbul,1,1000
Forum Istanbul,2,975
Forum Istanbul,3,992
Forum Istanbul,4,974
Forum Istanbul,5,1006
Istinye Park,1,1924
Istinye Park,2,1976
Istinye Park,3,1925
Istinye Park,4,1966
Istinye Park,5,1990
Kanyon,1,4014
Kanyon,2,3892
Kanyon,3,4018
Kanyon,4,3890
Kanyon,5,4009
Mall of Istanbul,1,3886
Mall of Istanbul,2,3976
Mall of Istanbul,3,4092
Mall of Istanbul,4,3945
Mall of Istanbul,5,4044
Metrocity,1,2982
Metrocity,2,3040
Metrocity,3,3050
Metrocity,4,3013
Metrocity,5,2926
Metropol AVM,1,2017
Metropol AVM,2,2045
Metropol AVM,3,2024
Metropol AVM,4,2024
Metropol AVM,5,2051
Viaport Outlet,1,993
Viaport Outlet,2,982
Viaport Outlet,3,992
Viaport Outlet,4,952
Viaport Outlet,5,995
Zorlu Center,1,997
Zorlu Center,2,1020
Zorlu Center,3,1029
Zorlu Center,4,1035
Zorlu Center,5,994
