invoice_date,price
2022-08-05,1500.40
2021-12-12,1800.51
2021-11-09,300.08
2021-05-16,3000.85
2021-10-24,60.60
2022-05-24,1500.40
2022-03-13,40.66
2021-01-13,600.16
2021-11-04,900.24
2021-08-22,600.16
2022-12-25,10.46
2022-10-28,15.15
2022-07-31,143.36
2022-11-17,600.16
2022-06-03,600.16
2021-11-07,3000.85
2021-01-16,30.30
2022-01-05,15.69
2021-07-26,600.16
2023-02-15,300.08
2021-05-01,5.23
2022-06-18,600.16
2021-10-26,5250.00
2022-12-16,75.75
2021-05-16,71.68
2022-04-20,203.30
2022-10-10,2400.68
2022-08-23,1800.51
2021-04-29,121.98
2022-07-04,107.52
2021-11-21,300.08
2022-02-23,1800.51
2021-07-11,1200.32
2022-08-30,2400.68
2023-01-04,5.23
2022-06-21,1500.40
2022-07-08,600.16
2022-02-27,600.16
2022-12-19,300.08
2021-09-10,15.69
2022-02-14,81.32
2022-04-28,121.98
2022-06-20,2400.68
2022-04-21,1800.51
2022-12-09,75.75
2023-01-12,121.98
2022-11-07,1200.32
2022-02-07,121.98
2021-06-13,75.75
2021-08-23,203.30
2023-02-24,45.45
2023-01-12,81.32
2022-02-22,4200.00
2021-03-12,15.69
2022-01-02,300.08
2021-11-26,71.68
2021-04-21,1200.32
2021-06-23,15.69
2021-12-14,60.60
2022-06-09,1500.40
2021-11-26,300.08
2021-02-05,1200.32
2022-03-06,1200.32
2022-05-09,162.64
2022-10-17,107.52
2022-01-22,15.69
2021-03-14,58.65
2022-04-27,203.30
2021-11-19,5250.00
2022-09-10,3000.85
2021-09-04,162.64
2022-08-21,26.15
2021-10-02,3000.85
2023-01-07,107.52
2021-06-08,35.19
2021-04-17,1500.40
2021-09-04,2400.68
2022-07-20,26.15
2021-07-14,20.92
2022-11-01,71.68
2023-01-06,162.64
2021-03-25,23.46
2022-09-08,600.16
2022-02-18,5.23
2021-04-22,10.46
2022-10-15,1500.40
2022-04-07,3000.85
2022-06-07,5.23
2023-01-22,1200.32
2022-08-22,2100.00
2021-10-03,35.84
2021-07-29,58.65
2022-12-16,81.32
2021-06-03,107.52
2021-12-17,600.16
2022-12-31,1500.40
2022-08-09,15.69
2022-07-31,900.24
2021-05-04,20.92
2022-05-25,3150.00
2022-12-23,15.69
2023-01-24,1200.32
2021-09-14,1500.40
2022-02-04,40.66
2022-01-06,26.15
2022-02-01,1500.40
2022-10-26,1500.40
2022-09-21,1500.40
2021-12-12,162.64
2021-08-21,1200.32
2021-10-08,15.69
2021-11-22,45.45
2022-03-19,300.08
2022-10-19,58.65
2022-01-12,600.16
2021-06-07,143.36
2023-01-15,300.08
2021-11-11,1200.32
2022-09-21,600.16
2021-05-30,162.64
2021-12-23,300.08
2022-04-30,2100.00
2021-06-07,143.36
2022-02-21,179.20
2021-08-26,900.24
2021-12-15,26.15
2021-02-20,300.08
2021-10-08,600.16
2022-08-01,900.24
2021-09-09,1200.32
2021-10-25,26.15
2021-12-14,5.23
2021-06-20,1500.40
2021-04-07,300.08
2021-12-05,60.60
2021-05-25,40.66
2022-04-12,45.45
2021-12-16,1200.32
2021-02-21,2100.00
2021-10-26,900.24
2022-12-18,35.84
2022-09-19,300.08
2023-02-01,600.16
2022-10-05,15.69
2021-11-28,81.32
2021-08-03,3000.85
2022-10-12,1200.32
2022-09-28,10.46
2021-07-12,15.69
2021-07-03,143.36
2022-03-26,162.64
2022-05-17,143.36
2022-04-11,58.65
2021-10-22,26.15
2021-12-20,203.30
2022-03-17,300.08
2022-06-23,58.65
2021-06-19,3150.00
2022-08-30,300.08
2021-11-20,1200.32
2021-07-31,10.46
2022-02-20,71.68
2023-02-09,1500.40
2021-03-24,300.08
2022-08-25,5.23
2021-10-21,162.64
2022-05-28,10.46
2022-03-05,58.65
2021-10-05,600.17
2021-04-16,1200.32
2023-02-26,71.68
2021-03-20,300.08
2022-05-15,58.65
2023-01-31,35.84
2021-10-02,162.64
2022-08-03,1500.40
2021-03-28,3150.00
2022-11-21,162.64
2021-02-12,23.46
2021-04-03,900.24
2022-07-03,5.23
2021-02-14,20.92
2022-07-15,162.64
2021-07-12,1200.32
2022-05-19,121.98
2023-02-13,162.64
2022-11-27,203.30
2021-03-02,15.69
2021-10-16,143.36
2021-11-04,600.16
2023-01-11,300.08
2022-06-08,121.98
2021-05-24,1200.32
2021-01-18,203.30
2021-07-22,60.60
2022-09-25,2100.00
2021-09-10,900.24
2022-01-16,35.19
2022-11-13,203.30
2021-03-14,23.46
2022-07-23,121.98
2021-06-24,35.84
2021-01-30,3000.85
2022-04-17,15.15
2023-02-23,40.66
2021-07-05,45.45
2021-08-31,75.75
2022-09-09,23.46
2021-11-04,10.46
2022-06-30,1500.40
2021-07-24,600.17
2022-04-15,1500.40
2021-09-25,10.46
2021-08-24,75.75
2021-01-26,3000.85
2022-02-05,81.32
2022-12-09,15.69
2021-02-14,1500.40
2022-07-17,5.23
2021-01-03,1800.51
2022-09-22,1200.32
2021-06-27,162.64
2023-02-03,162.64
2021-07-29,300.08
2022-12-08,900.24
2022-08-11,1500.40
2021-09-13,15.69
2022-05-27,143.36
2022-12-07,1200.32
2022-01-05,1500.40
2022-04-05,162.64
2022-01-10,5.23
2022-01-30,1050.00
2022-12-21,179.20
2021-02-24,1200.32
2022-07-19,35.84
2023-01-15,300.08
2023-01-12,1200.34
2022-11-05,1800.51
2021-07-23,1200.34
2022-06-30,1200.32
2022-11-01,300.08
2022-10-27,600.17
2022-08-21,1500.40
2021-03-13,900.24
