month_date,avg_transaction_value,total_transactions
2021-01-01,692.678691,3835
2021-02-01,692.291265,3407
2021-03-01,686.712337,3813
2021-04-01,687.117513,3724
2021-05-01,691.884077,3848
2021-06-01,673.338549,3783
2021-07-01,703.430868,3984
2021-08-01,707.038227,3723
2021-09-01,689.456643,3670
2021-10-01,710.525638,3916
2021-11-01,670.656227,3798
2021-12-01,675.013543,3881
2022-01-01,690.447091,3847
2022-02-01,672.527148,3447
2022-03-01,685.378961,3947
2022-04-01,675.964162,3763
2022-05-01,697.468665,3849
2022-06-01,688.021593,3798
2022-07-01,706.281785,3893
2022-08-01,674.396398,3912
2022-09-01,701.848599,3683
2022-10-01,716.174556,3848
2022-11-01,650.196218,3765
2022-12-01,704.247907,3799
2023-01-01,667.359626,3926
2023-02-01,705.198429,3628
2023-03-01,704.867330,970
