shopping_mall,month_date,monthly_revenue
Cevahir AVM,2021-01-01,132985.42
Cevahir AVM,2021-02-01,92546.87
Cevahir AVM,2021-03-01,144280.16
Cevahir AVM,2021-04-01,119052.76
Cevahir AVM,2021-05-01,132286.61
Cevahir AVM,2021-06-01,115264.13
Cevahir AVM,2021-07-01,145142.75
Cevahir AVM,2021-08-01,119971.95
Cevahir AVM,2021-09-01,135416.82
Cevahir AVM,2021-10-01,148656.68
Cevahir AVM,2021-11-01,148242.68
Cevahir AVM,2021-12-01,142619.58
Cevahir AVM,2022-01-01,133421.00
Cevahir AVM,2022-02-01,133100.54
Cevahir AVM,2022-03-01,116046.08
Cevahir AVM,2022-04-01,114895.28
Cevahir AVM,2022-05-01,154060.84
Cevahir AVM,2022-06-01,142373.55
Cevahir AVM,2022-07-01,129512.10
Cevahir AVM,2022-08-01,137110.40
Cevahir AVM,2022-09-01,158998.05
Cevahir AVM,2022-10-01,125121.48
Cevahir AVM,2022-11-01,123576.84
Cevahir AVM,2022-12-01,106781.51
Cevahir AVM,2023-01-01,109019.92
Cevahir AVM,2023-02-01,127884.32
Cevahir AVM,2023-03-01,45303.52
Emaar Square Mall,2021-01-01,118029.09
Emaar Square Mall,2021-02-01,107323.21
Emaar Square Mall,2021-03-01,136568.33
Emaar Square Mall,2021-04-01,129174.80
Emaar Square Mall,2021-05-01,144482.15
Emaar Square Mall,2021-06-01,122798.55
Emaar Square Mall,2021-07-01,177622.38
Emaar Square Mall,2021-08-01,115787.42
Emaar Square Mall,2021-09-01,144151.98
Emaar Square Mall,2021-10-01,169559.28
Emaar Square Mall,2021-11-01,114491.25
Emaar Square Mall,2021-12-01,147964.21
Emaar Square Mall,2022-01-01,138669.75
Emaar Square Mall,2022-02-01,73417.43
Emaar Square Mall,2022-03-01,162929.84
Emaar Square Mall,2022-04-01,138986.94
Emaar Square Mall,2022-05-01,122946.67
Emaar Square Mall,2022-06-01,106459.69
Emaar Square Mall,2022-07-01,127969.47
Emaar Square Mall,2022-08-01,129246.29
Emaar Square Mall,2022-09-01,122923.54
Emaar Square Mall,2022-10-01,134958.82
Emaar Square Mall,2022-11-01,93031.38
Emaar Square Mall,2022-12-01,135154.13
Emaar Square Mall,2023-01-01,139591.14
Emaar Square Mall,2023-02-01,106248.47
Emaar Square Mall,2023-03-01,29922.10
Forum Istanbul,2021-01-01,135698.69
Forum Istanbul,2021-02-01,105924.37
Forum Istanbul,2021-03-01,108245.23
Forum Istanbul,2021-04-01,158471.14
Forum Istanbul,2021-05-01,150878.14
Forum Istanbul,2021-06-01,126939.74
Forum Istanbul,2021-07-01,139079.89
Forum Istanbul,2021-08-01,104803.97
Forum Istanbul,2021-09-01,108370.47
Forum Istanbul,2021-10-01,157719.26
Forum Istanbul,2021-11-01,107488.12
Forum Istanbul,2021-12-01,114270.59
Forum Istanbul,2022-01-01,138586.75
Forum Istanbul,2022-02-01,115608.42
Forum Istanbul,2022-03-01,122300.71
Forum Istanbul,2022-04-01,142659.16
Forum Istanbul,2022-05-01,152822.82
Forum Istanbul,2022-06-01,118322.01
Forum Istanbul,2022-07-01,139619.47
Forum Istanbul,2022-08-01,131670.63
Forum Istanbul,2022-09-01,116008.83
Forum Istanbul,2022-10-01,153614.96
Forum Istanbul,2022-11-01,124409.63
Forum Istanbul,2022-12-01,102241.67
Forum Istanbul,2023-01-01,108445.83
Forum Istanbul,2023-02-01,111298.32
Forum Istanbul,2023-03-01,40575.00
Istinye Park,2021-01-01,268953.24
Istinye Park,2021-02-01,218029.66
Istinye Park,2021-03-01,236069.80
Istinye Park,2021-04-01,237986.28
Istinye Park,2021-05-01,247835.71
Istinye Park,2021-06-01,239100.58
Istinye Park,2021-07-01,323727.66
Istinye Park,2021-08-01,237796.03
Istinye Park,2021-09-01,236269.87
Istinye Park,2021-10-01,257665.75
Istinye Park,2021-11-01,279916.44
Istinye Park,2021-12-01,270724.86
Istinye Park,2022-01-01,278593.96
Istinye Park,2022-02-01,256593.75
Istinye Park,2022-03-01,285956.97
Istinye Park,2022-04-01,228913.28
Istinye Park,2022-05-01,280868.38
Istinye Park,2022-06-01,241240.54
Istinye Park,2022-07-01,244538.48
Istinye Park,2022-08-01,259509.45
Istinye Park,2022-09-01,247367.75
Istinye Park,2022-10-01,281063.72
Istinye Park,2022-11-01,225031.38
Istinye Park,2022-12-01,284209.14
Istinye Park,2023-01-01,241135.43
Istinye Park,2023-02-01,235969.20
Istinye Park,2023-03-01,72010.23
Kanyon,2021-01-01,569082.29
