month_date,category,monthly_revenue
2021-01-01,Clothing,1184415.76
2021-01-01,Shoes,746011.31
2021-01-01,Technology,591150.00
2021-01-01,Cosmetics,68349.46
2021-01-01,Toys,41216.00
2021-01-01,Books,9377.85
2021-01-01,Food & Beverage,8723.64
2021-01-01,Souvenir,7178.76
2021-02-01,Clothing,1069785.20
2021-02-01,Shoes,650584.28
2021-02-01,Technology,516600.00
2021-02-01,Cosmetics,63592.24
2021-02-01,Toys,36986.88
2021-02-01,Food & Beverage,7384.76
2021-02-01,Books,7181.10
2021-02-01,Souvenir,6521.88
2021-03-01,Clothing,1230328.00
2021-03-01,Shoes,691395.84
2021-03-01,Technology,563850.00
2021-03-01,Cosmetics,66804.38
2021-03-01,Toys,41896.96
2021-03-01,Books,9165.75
2021-03-01,Food & Beverage,8483.06
2021-03-01,Souvenir,6510.15
2021-04-01,Clothing,1243231.44
2021-04-01,Shoes,632579.18
2021-04-01,Technology,556500.00
2021-04-01,Cosmetics,63429.60
2021-04-01,Toys,37954.56
2021-04-01,Books,9029.40
2021-04-01,Food & Beverage,9016.52
2021-04-01,Souvenir,7084.92
2021-05-01,Clothing,1192517.92
2021-05-01,Shoes,766417.09
2021-05-01,Technology,564900.00
2021-05-01,Cosmetics,70870.38
2021-05-01,Toys,43223.04
2021-05-01,Food & Beverage,9094.97
2021-05-01,Books,8590.05
2021-05-01,Souvenir,6756.48
2021-06-01,Clothing,1161609.68
2021-06-01,Shoes,637380.54
2021-06-01,Technology,611100.00
2021-06-01,Cosmetics,73188.00
2021-06-01,Toys,39997.44
2021-06-01,Food & Beverage,9654.58
2021-06-01,Books,7529.55
2021-06-01,Souvenir,6779.94
2021-07-01,Clothing,1329054.32
2021-07-01,Shoes,689595.33
2021-07-01,Technology,644700.00
2021-07-01,Cosmetics,70585.76
2021-07-01,Toys,44262.40
2021-07-01,Books,8999.10
2021-07-01,Food & Beverage,8749.79
2021-07-01,Souvenir,6521.88
2021-08-01,Clothing,1112096.48
2021-08-01,Shoes,726205.70
2021-08-01,Technology,661500.00
2021-08-01,Cosmetics,70057.18
2021-08-01,Toys,38133.76
2021-08-01,Food & Beverage,9037.44
2021-08-01,Books,8211.30
2021-08-01,Souvenir,7061.46
2021-09-01,Clothing,1151406.96
2021-09-01,Shoes,640981.56
2021-09-01,Technology,606900.00
2021-09-01,Cosmetics,67820.88
2021-09-01,Toys,40857.60
2021-09-01,Food & Beverage,8101.27
2021-09-01,Books,7938.60
2021-09-01,Souvenir,6299.01
2021-10-01,Clothing,1189817.20
2021-10-01,Shoes,759815.22
2021-10-01,Technology,696150.00
2021-10-01,Cosmetics,70463.78
2021-10-01,Toys,41789.44
2021-10-01,Food & Beverage,9534.29
2021-10-01,Books,8877.90
2021-10-01,Souvenir,5970.57
2021-11-01,Clothing,1268738.24
2021-11-01,Shoes,626577.48
2021-11-01,Technology,516600.00
2021-11-01,Cosmetics,70260.48
2021-11-01,Toys,43151.36
2021-11-01,Food & Beverage,8817.78
2021-11-01,Books,7059.90
2021-11-01,Souvenir,5947.11
2021-12-01,Clothing,1232128.48
2021-12-01,Shoes,674591.08
2021-12-01,Technology,574350.00
2021-12-01,Cosmetics,72659.42
2021-12-01,Toys,41825.28
2021-12-01,Food & Beverage,9581.36
2021-12-01,Books,8105.25
2021-12-01,Souvenir,6486.69
2022-01-01,Clothing,1182615.28
2022-01-01,Shoes,673990.91
2022-01-01,Technology,655200.00
2022-01-01,Cosmetics,74001.20
2022-01-01,Toys,45516.80
2022-01-01,Books,8362.80
2022-01-01,Food & Beverage,8357.54
2022-01-01,Souvenir,8105.43
2022-02-01,Clothing,1083888.96
2022-02-01,Shoes,576763.37
2022-02-01,Technology,535500.00
2022-02-01,Cosmetics,61030.66
2022-02-01,Toys,38384.64
2022-02-01,Books,8226.45
2022-02-01,Food & Beverage,7756.09
2022-02-01,Souvenir,6650.91
2022-03-01,Clothing,1222525.92
2022-03-01,Shoes,770618.28
2022-03-01,Technology,569100.00
2022-03-01,Cosmetics,74448.46
2022-03-01,Toys,42792.96
2022-03-01,Food & Beverage,9539.52
2022-03-01,Books,9256.65
2022-03-01,Souvenir,6908.97
2022-04-01,Clothing,1163410.16
2022-04-01,Shoes,708800.77
2022-04-01,Technology,537600.00
2022-04-01,Cosmetics,70585.76
2022-04-01,Toys,39244.80
