#,gender,age_group,category,total_purchases_by_age_group
1,Female,18-25,Clothing,3178
2,Female,18-25,Cosmetics,1376
3,Female,18-25,Food & Beverage,1354
4,Female,18-25,Shoes,918
5,Female,18-25,Toys,902
6,Female,18-25,Souvenir,458
7,Female,18-25,Technology,455
8,Female,18-25,Books,441
9,Female,26-35,Clothing,3993
10,Female,26-35,Cosmetics,1732
11,Female,26-35,Food & Beverage,1643
12,Female,26-35,Toys,1202
13,Female,26-35,Shoes,1109
14,Female,26-35,Souvenir,587
15,Female,26-35,Technology,587
16,Female,26-35,Books,557
17,Female,36-45,Clothing,4038
18,Female,36-45,Food & Beverage,1803
19,Female,36-45,Cosmetics,1760
20,Female,36-45,Toys,1210
21,Female,36-45,Shoes,1179
22,Female,36-45,Technology,608
23,Female,36-45,Souvenir,596
24,Female,36-45,Books,568
25,Female,46-60,Clothing,5921
26,Female,46-60,Cosmetics,2624
27,Female,46-60,Food & Beverage,2446
28,Female,46-60,Shoes,1725
29,Female,46-60,Toys,1693
30,Female,46-60,Souvenir,877
31,Female,46-60,Books,859
32,Female,46-60,Technology,829
33,Female,60+,Clothing,3522
34,Female,60+,Cosmetics,1578
35,Female,60+,Food & Beverage,1558
36,Female,60+,Toys,1078
37,Female,60+,Shoes,1036
38,Female,60+,Technology,502
39,Female,60+,Souvenir,499
40,Female,60+,Books,481
41,Male,18-25,Clothing,2159
42,Male,18-25,Food & Beverage,952
43,Male,18-25,Cosmetics,900
44,Male,18-25,Toys,681
45,Male,18-25,Shoes,632
46,Male,18-25,Books,347
47,Male,18-25,Souvenir,310
48,Male,18-25,Technology,296
49,Male,26-35,Clothing,2621
50,Male,26-35,Food & Beverage,1177
51,Male,26-35,Cosmetics,1163
52,Male,26-35,Shoes,819
53,Male,26-35,Toys,748
54,Male,26-35,Souvenir,383
55,Male,26-35,Technology,375
56,Male,26-35,Books,363
57,Male,36-45,Clothing,2673
58,Male,36-45,Cosmetics,1146
59,Male,36-45,Food & Beverage,1139
60,Male,36-45,Toys,762
61,Male,36-45,Shoes,747
62,Male,36-45,Technology,432
63,Male,36-45,Souvenir,403
64,Male,36-45,Books,372
65,Male,46-60,Clothing,3980
66,Male,46-60,Cosmetics,1783
67,Male,46-60,Food & Beverage,1712
68,Male,46-60,Shoes,1153
69,Male,46-60,Toys,1124
70,Male,46-60,Books,610
71,Male,46-60,Technology,564
72,Male,46-60,Souvenir,534
73,Male,60+,Clothing,2402
74,Male,60+,Cosmetics,1035
75,Male,60+,Food & Beverage,992
76,Male,60+,Shoes,716
77,Male,60+,Toys,687
78,Male,60+,Books,383
79,Male,60+,Souvenir,352
80,Male,60+,Technology,348
