#,year,month,revenue_by_month
1,2021,1,2656422.78
2,2021,2,2358636.34
3,2021,3,2618434.14
4,2021,4,2558825.62
5,2021,5,2662369.93
6,2021,6,2547239.73
7,2021,7,2802468.58
8,2021,8,2632303.32
9,2021,9,2530305.88
10,2021,10,2782418.40
11,2021,11,2547152.35
12,2021,12,2619727.56
13,2022,1,2656149.96
14,2022,2,2318201.08
15,2022,3,2705190.76
16,2022,4,2543653.14
17,2022,5,2684556.89
18,2022,6,2613106.01
19,2022,7,2749554.99
20,2022,8,2638238.71
21,2022,9,2584908.39
22,2022,10,2755839.69
23,2022,11,2447988.76
24,2022,12,2675437.80
25,2023,1,2620053.89
26,2023,2,2558459.90
27,2023,3,683721.31
