Shipment_ID,Origin_Warehouse,Destination,Carrier,Shipment_Date,Shipment_month,Delivery_Date,Delivery_month,Weight_kg,Cost,Status,Distance_miles,Transit_Days,Invalid dates,,,
SH10182,Warehouse_SEA,Portland,Amazon Logistics,2023-01-01,Jan 2023,2023-01-10,Jan 2023,22.80,319.99,Delivered,2327,9,valid,,,
SH10316,Warehouse_CHI,Denver,USPS,2023-01-01,Jan 2023,2023-01-07,Jan 2023,23.80,128.01,Delivered,1000,6,valid,,,
SH11294,Warehouse_CHI,Minneapolis,LaserShip,2023-01-01,Jan 2023,2023-01-03,Jan 2023,19.70,106.66,Delivered,784,2,valid,,,
SH11352,Warehouse_BOS,Los Angeles,USPS,2023-01-01,Jan 2023,2023-01-06,Jan 2023,10.70,246.62,In Transit,2185,5,valid,,,
SH11101,Warehouse_CHI,Miami,OnTrac,2023-01-02,Jan 2023,2023-01-20,Jan 2023,57.40,222.36,Delayed,1350,5,valid,, ,
SH10497,Warehouse_MIA,Denver,FedEx,2023-01-02,Jan 2023,2023-01-03,Jan 2023,22.10,69.52,Delivered,309,1,valid,,,
SH10683,Warehouse_LA,Dallas,Amazon Logistics,2023-01-02,Jan 2023,2023-01-05,Jan 2023,52.30,222.33,Delivered,1435,3,valid,, ,
SH11295,Warehouse_ATL,Houston,USPS,2023-01-02,Jan 2023,2023-01-05,Jan 2023,31.80,134.96,Delivered,786,3,valid,,,
SH11302,Warehouse_BOS,New York,DHL,2023-01-02,Jan 2023,2023-01-06,Jan 2023,41.80,254.48,Delivered,1261,4,valid,,, 
SH11331,Warehouse_NYC,Houston,FedEx,2023-01-02,Jan 2023,2023-01-07,Jan 2023,17.80,196.28,Delivered,1322,5,valid,,,
SH11552,Warehouse_SEA,Boston,OnTrac,2023-01-03,Jan 2023,,,184.30,497.31,Delayed,1941,7,invalid,,,
SH10134,Warehouse_SF,Portland,LaserShip,2023-01-03,Jan 2023,2023-01-10,Jan 2023,24.40,313.23,Delivered,2314,7,valid,, ,
SH11452,Warehouse_NYC,San Francisco,UPS,2023-01-03,Jan 2023,2023-01-08,Jan 2023,9.80,223.01,Delivered,1553,5,valid,,,
SH11877,Warehouse_LA,Seattle,UPS,2023-01-03,Jan 2023,2023-01-08,Jan 2023,16.80,174.76,Delivered,1135,5,valid,,,
SH11965,Warehouse_CHI,Houston,USPS,2023-01-03,Jan 2023,2023-01-10,Jan 2023,19.20,300.32,Delivered,2300,7,valid,,,
SH10452,Warehouse_BOS,San Francisco,LaserShip,2023-01-04,Jan 2023,2023-01-21,Jan 2023,18.00,271.68,Delayed,2067,5,valid,,,
