state,cost_per_service
DC,51.32179445689362
NH,45.29182628968092
CT,43.498835293541056
MT,43.32765429274052
AK,43.071447880478715
WI,42.30710233214277
UT,42.23889326416205
MA,41.90485614155744
DE,40.30128971673586
SD,39.467051240469225
NY,39.3227692657877
CA,39.191537496414185
MI,38.605922329417
MD,38.525737989480284
ID,38.3885119020793
RI,37.690961915663074
WA,37.599346930840035
HI,37.59084172830465
LA,37.196864234148876
ND,36.683717226020065
NM,36.55092061665937
IN,35.955033579072804
OH,35.80180482379417
ME,35.654884163030935
PA,35.103359634228156
OR,34.86721662191899
NV,34.85927817492767
WV,34.84549151214431
KY,34.80650960913639
CO,34.65121964221154
VT,34.523010681884706
IA,34.397518629784074
NJ,34.28474698649327
OK,34.11175100558838
AZ,34.06186508555826
IL,33.89282576392324
VA,33.519702812792815
TX,33.31004483520232
MS,33.0309477638291
MO,32.924751974632905
MN,32.62332477519236
GA,32.56886652678781
SC,31.638975363441247
FL,31.344166628248768
NC,31.155315824069955
NE,30.15546101540111
WY,30.11436803557823
TN,29.601381479743548
AR,29.185342447800682
KS,29.156298829814272
AL,27.957856597931855
