state,services_per_provider
FL,3848.0610
AL,3460.0397
AR,3332.4023
NJ,3251.8628
NV,3097.1661
SC,3086.0923
AZ,3028.3135
MS,3004.9292
CA,2835.4318
TN,2789.0065
KS,2769.7683
TX,2766.8657
MD,2762.7864
VA,2619.6999
OK,2555.8403
NC,2503.2018
GA,2502.2926
IL,2392.0136
DE,2384.7043
NE,2303.9776
MO,2063.3027
LA,2045.8274
NY,1997.7212
IN,1975.3657
KY,1928.1957
WY,1902.2242
PA,1835.3656
IA,1822.0096
CO,1787.0438
WV,1772.6071
MI,1620.2616
OH,1609.5225
MA,1569.9282
NM,1566.2778
WA,1565.0555
ID,1508.8107
UT,1502.0910
OR,1483.2390
HI,1469.3479
RI,1448.8114
CT,1428.3565
AK,1319.2017
SD,1315.3010
ND,1294.6112
ME,1233.4433
VT,1213.3034
MT,1166.8885
DC,1164.3351
WI,1147.4173
NH,1128.3001
MN,1076.3616
