state,total_providers
CA,1677308
NY,1481800
TX,1365950
FL,1333124
PA,1070642
IL,872574
OH,860556
MI,755730
NC,715192
MA,662032
NJ,656326
GA,586056
VA,528444
TN,493144
WA,486432
MN,468620
WI,451792
MD,446268
IN,441686
MO,426332
AZ,421862
CO,350518
SC,323302
KY,320198
CT,311072
AL,299456
LA,294888
OR,259486
OK,235794
IA,225776
KS,213996
AR,181360
MS,173756
UT,157542
NE,151856
NV,148652
WV,133228
NH,126466
ME,126132
NM,119450
ID,107858
RI,91460
MT,83212
DE,80014
SD,77884
HI,71352
ND,70238
DC,67394
VT,56012
AK,50864
WY,39588
