state,total_services
FL,5129942454
CA,4755892446
TX,3779400194
NY,2960223276
NJ,2134282078
IL,2087208848
PA,1965019534
NC,1790269888
GA,1466483604
OH,1385084222
VA,1384364696
TN,1375381818
AZ,1277530370
MD,1232943170
MI,1224480300
MA,1039342704
AL,1036129646
SC,997739824
MO,879651952
IN,872491354
WA,761293092
CO,626391028
KY,617404418
AR,604364490
LA,603289936
OK,602651818
KS,592719332
MS,522124484
WI,518393960
MN,504404582
NV,460399940
CT,444321722
IA,411366032
OR,384879750
NE,349872820
UT,236642414
WV,236160902
DE,190809728
NM,187091878
ID,162737302
ME,155576666
NH,142691602
RI,132508290
HI,104840908
SD,102440900
MT,97099124
ND,90930898
DC,78469202
WY,75305252
VT,67959548
AK,67099876
