state,total_payments,total_services,total_providers,avg_markup_ratio
CA,93195368563.16098,2377946223,838654,3.6777188192173984
FL,80396885535.7517,2564971227,666562,3.5742412369324232
TX,62945994956.156166,1889700097,682975,4.263280668181879
NY,58202088428.68108,1480111638,740900,3.8170657709791636
NJ,36586660521.01855,1067141039,328163,3.907982738585313
IL,35370702909.09148,1043604424,436287,3.96364623275586
PA,34489393695.14271,982509767,535321,3.4771184721006536
NC,27888211885.481174,895134944,357596,3.7661060742662573
OH,24794257490.2804,692542111,430278,3.6931961017049555
GA,23880854381.19937,733241802,293028,4.118806722024018
MD,23750022761.669624,616471585,223134,3.317547804242786
MI,23636095677.850613,612240150,377865,3.2664210178362043
VA,23201746597.221134,692182348,264222,3.481527940241638
MA,21776753246.448658,519671352,331016,4.096641211619532
AZ,21757533552.821663,638765185,210931,3.5392161816474146
TN,20356600937.460606,687690909,246572,3.9017135536509304
SC,15783732855.330103,498869912,161651,3.701763055261401
IN,15685227965.26035,436245677,220843,3.8627166143374265
AL,14483982029.86695,518064823,149728,3.7106611562987366
MO,14481161171.800846,439825976,213166,3.9393549791133395
WA,14312061541.07996,380646546,243216,3.5250424089504047
LA,11220246921.610182,301644968,147444,4.030630946691908
WI,10965873157.042362,259196980,225896,5.204058959942287
CO,10852606546.569338,313195514,175259,3.837583459583593
KY,10744846403.92013,308702209,160099,3.5262885604422203
OK,10278754379.340584,301325909,117897,3.6343737729148926
CT,9663738701.310268,222160861,155536,3.6594298691025307
AR,8819292301.970205,302182245,90680,3.524266490741917
KS,8640750982.999949,296359666,106998,3.7583599586146668
MS,8623133278.610111,261062242,86878,4.0292008701717
MN,8227677248.340573,252202291,234310,4.074945220580392
NV,8024604790.090004,230199970,74326,4.272857325572264
IA,7074985374.690175,205683016,112888,3.56944716795936
OR,6709842808.320013,192439875,129743,3.951340959475892
NE,5275288091.929225,174936410,75928,3.5077838907638887
UT,4997756833.359824,118321207,78771,3.235122733930746
WV,4114571353.070672,118080451,66614,3.6106780851213003
DE,3844939064.4497833,95404864,40007,3.4057667190501277
NM,3419190190.3998594,93545939,59725,3.74282660592878
NH,3231381625.3901434,71345801,63233,4.40840006631844
ID,3123621427.369637,81368651,53929,2.888229642587365
ME,2773534002.350277,77788333,63066,3.177289300019914
RI,2497182455.949819,66254145,45730,3.5632123192476133
MT,2103538638.399972,48549562,41606,3.2302754994455953
SD,2021520124.7098918,51220450,38942,3.4243778754831187
DC,2013590128.1202328,39234601,33697,3.4246970324682358
HI,1970528989.6398745,52420454,35676,3.4250778912081237
ND,1667841674.6700368,45465449,35119,3.7363136439447753
AK,1445044405.9602923,33549938,25432,5.459621305045023
VT,1173084100.770028,33979774,28006,3.354060993740708
WY,1133885036.8699818,37652626,19794,4.386259558330714
